Year,#1 Movie,Gross,Average Ticket Price,Number of Movies
2010,Toy Story 3,10566.8,7.89,536
1995,Toy Story,5199.4,4.35,411
1986,Top Gun,3102.8,3.71,451
1997,Titanic,6156.3,4.59,510
1987,Three Men and a Baby,3398.9,3.91,509
2003,The Lord of the Rings: The Return of the King,9211,6.03,506
2013,The Hunger Games: Catching Fire,10922.1,8.13,688
1980,The Empire Strikes Back,1657.2,2.69,161
2008,The Dark Knight,9629.1,7.18,608
2012,The Avengers,10822.8,7.96,667
1991,Terminator 2: Judgment Day,4366.9,4.21,458
2017,Star Wars: Episode VIII - The Last Jedi,11072.8,8.97,740
2015,Star Wars: Episode VII - The Force Awakens,11125.8,8.43,702
2005,Star Wars: Episode III - Revenge of the Sith,8837.7,6.41,547
1999,Star Wars: Episode I - The Phantom Menace,7378,5.06,461
2007,Spider-Man 3,9657.1,6.88,631
2002,Spider-Man,9165.5,5.8,479
2004,Shrek 2,9365,6.21,551
1998,Saving Private Ryan,6725.5,4.69,509
2016,Rogue One: A Star Wars Story,11377.1,8.65,737
1983,Return of the Jedi,2748.4,3.15,495
1988,Rain Man,3548.5,4.11,510
1981,Raiders of the Lost Ark,918.3,2.78,173
2006,Pirates of the Caribbean: Dead Man's Chest,9208.6,6.55,608
1993,Jurassic Park,4860.9,4.14,462
1996,Independence Day,5647.8,4.42,471
2000,How the Grinch Stole Christmas,7511.5,5.39,478
1990,Home Alone,4362.8,4.22,410
2001,Harry Potter and the Sorcerer's Stone,8110.9,5.65,482
2011,Harry Potter and the Deathly Hallows: Part 2,10173.6,7.93,602
1994,Forrest Gump,5101,4.08,453
1982,E.T. the Extra-Terrestrial,3008.4,2.94,428
2018,Black Panther,11889.3,9.11,873
1984,Beverly Hills Cop,3104.3,3.36,536
1989,Batman,4111.4,3.99,502
2020,Bad Boys for Life,2103.1,9.16,329
1985,Back to the Future,3041.5,3.55,470
2019,Avengers: Endgame,11320.9,9.16,792
2009,Avatar,10590.2,7.5,521
2014,American Sniper,10359.6,8.17,702
1992,Aladdin,4556.2,4.15,480
